
Host: kappa

Timers On : Fri Jul 29 10:05:57 2022
Timers Off: Fri Jul 29 10:06:35 2022

Wall Time:       37.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form C                          :      0.183u      0.017s      0.092w    103 calls
Grad: V T Perturb                   :      0.633u      0.033s      0.371w      8 calls
Grad: S                             :      0.000u      0.000s      0.011w      8 calls
Grad: JK                            :      6.383u      0.050s      6.349w      8 calls
JKGrad: Amn                         :      1.633u      0.033s      1.002w      8 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      8 calls
JKGrad: AB                          :      0.433u      0.000s      0.256w      8 calls
JKGrad: UV                          :      0.000u      0.017s      0.018w      8 calls
JKGrad: ABx                         :      0.167u      0.000s      0.107w      8 calls
JKGrad: Amnx                        :      4.133u      0.000s      2.481w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.750u      0.100s      0.510w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.650u      0.083s      5.847w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.567u      0.000s      0.339w     10 calls
| Libint2ERI::Libint2ERI            :      0.383u      0.000s      0.215w     10 calls
DFH: initialize()                   :      2.767u      0.067s      1.709w     10 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.206w     20 calls
| DFH: AO Construction              :      1.567u      0.000s      0.935w     10 calls
| DFH: AO-Met. Contraction          :      0.367u      0.000s      0.217w     10 calls
HF: Form core H                     :      0.150u      0.000s      0.667w      9 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      9 calls
HF: Guess                           :      0.267u      0.017s      0.174w      9 calls
| SAD Guess                         :      0.250u      0.017s      0.167w      3 calls
HF: Form G                          :      0.983u      0.000s      0.671w    106 calls
| JK: D                             :      0.000u      0.000s      0.003w    106 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    106 calls
| JK: JK                            :      0.950u      0.000s      0.660w    106 calls
| | DFH: compute_JK()               :      0.950u      0.000s      0.660w    106 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    106 calls
| | | DFH: compute_J                :      0.233u      0.000s      0.160w    106 calls
| | | DFH: compute_K                :      0.717u      0.000s      0.484w    106 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    106 calls
HF: Form F                          :      0.000u      0.000s      0.002w    106 calls
HF: Form D                          :      0.000u      0.000s      0.002w    106 calls
HF: DIIS                            :      0.183u      0.000s      0.452w    103 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.376w     97 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.022w     97 calls
| | bMatrix setup                   :      0.000u      0.000s      0.009w     97 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.005w     97 calls
| | New vector                      :      0.017u      0.000s      0.007w     97 calls
HF: Form C                          :      0.183u      0.017s      0.092w    103 calls
Grad: V T Perturb                   :      0.633u      0.033s      0.371w      8 calls
Grad: S                             :      0.000u      0.000s      0.011w      8 calls
Grad: JK                            :      6.383u      0.050s      6.349w      8 calls
| JKGrad: Amn                       :      1.633u      0.033s      1.002w      8 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.166w      8 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      8 calls
| JKGrad: AB                        :      0.433u      0.000s      0.256w      8 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      8 calls
| JKGrad: UV                        :      0.000u      0.017s      0.018w      8 calls
| JKGrad: ABx                       :      0.167u      0.000s      0.107w      8 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      8 calls
| JKGrad: Amnx                      :      4.133u      0.000s      2.481w      8 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.166w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.750u      0.100s      0.510w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.650u      0.083s      5.847w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      5.033u      0.000s      2.999w     16 calls
| DFH: compute_JK()                 :      5.033u      0.000s      2.999w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      1.000u      0.000s      0.568w     16 calls
| | DFH: compute_K                  :      4.017u      0.000s      2.426w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:29:07 2022
Timers Off: Fri Jul 29 13:30:02 2022

Wall Time:       54.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.617u      0.017s      0.373w     11 calls
Libint2ERI::Libint2ERI              :      1.467u      0.000s      0.880w     75 calls
DFH: initialize()                   :      3.033u      0.067s      2.151w     11 calls
DFH: AO Construction                :      1.733u      0.033s      1.031w     11 calls
DFH: AO-Met. Contraction            :      0.367u      0.017s      0.237w     11 calls
HF: Form core H                     :      0.167u      0.000s      0.976w     10 calls
HF: Form S/X                        :      0.033u      0.000s      0.009w     10 calls
HF: Guess                           :      0.283u      0.000s      0.176w     10 calls
SAD Guess                           :      0.283u      0.000s      0.169w      3 calls
HF: Form G                          :      1.267u      0.017s      0.802w    123 calls
JK: D                               :      0.000u      0.000s      0.006w    139 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    139 calls
JK: JK                              :      6.467u      0.017s      3.925w    139 calls
DFH: compute_JK()                   :      6.467u      0.017s      3.924w    139 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    139 calls
DFH: compute_J                      :      1.300u      0.017s      0.886w    139 calls
DFH: compute_K                      :      5.150u      0.000s      3.016w    139 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    139 calls
HF: Form F                          :      0.000u      0.000s      0.003w    123 calls
HF: Form D                          :      0.000u      0.000s      0.002w    123 calls
HF: DIIS                            :      0.183u      0.017s      0.748w    120 calls
DIISManager::add_entry              :      0.050u      0.000s      0.660w    113 calls
DIISManager::extrapolate            :      0.083u      0.017s      0.025w    113 calls
bMatrix setup                       :      0.050u      0.000s      0.010w    113 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.006w    113 calls
New vector                          :      0.033u      0.017s      0.009w    113 calls
HF: Form C                          :      0.167u      0.017s      0.106w    120 calls
Grad: V T Perturb                   :      0.667u      0.017s      0.419w      9 calls
Grad: S                             :      0.000u      0.000s      0.012w      9 calls
Grad: JK                            :      7.233u      0.050s      9.690w      9 calls
JKGrad: Amn                         :      1.833u      0.033s      1.127w      9 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      9 calls
JKGrad: AB                          :      0.433u      0.017s      0.282w      9 calls
JKGrad: UV                          :      0.050u      0.000s      0.020w      9 calls
JKGrad: ABx                         :      0.217u      0.000s      0.121w      9 calls
JKGrad: Amnx                        :      4.667u      0.000s      2.805w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.767u      0.083s      0.516w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.733u      0.083s      5.925w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.617u      0.017s      0.373w     11 calls
| Libint2ERI::Libint2ERI            :      0.400u      0.000s      0.236w     11 calls
DFH: initialize()                   :      3.033u      0.067s      2.151w     11 calls
| Libint2ERI::Libint2ERI            :      0.383u      0.000s      0.228w     22 calls
| DFH: AO Construction              :      1.733u      0.033s      1.031w     11 calls
| DFH: AO-Met. Contraction          :      0.367u      0.017s      0.237w     11 calls
HF: Form core H                     :      0.167u      0.000s      0.976w     10 calls
HF: Form S/X                        :      0.033u      0.000s      0.009w     10 calls
HF: Guess                           :      0.283u      0.000s      0.176w     10 calls
| SAD Guess                         :      0.283u      0.000s      0.169w      3 calls
HF: Form G                          :      1.267u      0.017s      0.802w    123 calls
| JK: D                             :      0.000u      0.000s      0.003w    123 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    123 calls
| JK: JK                            :      1.233u      0.017s      0.790w    123 calls
| | DFH: compute_JK()               :      1.233u      0.017s      0.789w    123 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    123 calls
| | | DFH: compute_J                :      0.167u      0.017s      0.199w    123 calls
| | | DFH: compute_K                :      1.067u      0.000s      0.572w    123 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    123 calls
HF: Form F                          :      0.000u      0.000s      0.003w    123 calls
HF: Form D                          :      0.000u      0.000s      0.002w    123 calls
HF: DIIS                            :      0.183u      0.017s      0.748w    120 calls
| DIISManager::add_entry            :      0.050u      0.000s      0.660w    113 calls
| DIISManager::extrapolate          :      0.083u      0.017s      0.025w    113 calls
| | bMatrix setup                   :      0.050u      0.000s      0.010w    113 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.006w    113 calls
| | New vector                      :      0.033u      0.017s      0.009w    113 calls
HF: Form C                          :      0.167u      0.017s      0.106w    120 calls
Grad: V T Perturb                   :      0.667u      0.017s      0.419w      9 calls
Grad: S                             :      0.000u      0.000s      0.012w      9 calls
Grad: JK                            :      7.233u      0.050s      9.690w      9 calls
| JKGrad: Amn                       :      1.833u      0.033s      1.127w      9 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.186w      9 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      9 calls
| JKGrad: AB                        :      0.433u      0.017s      0.282w      9 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      9 calls
| JKGrad: UV                        :      0.050u      0.000s      0.020w      9 calls
| JKGrad: ABx                       :      0.217u      0.000s      0.121w      9 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      9 calls
| JKGrad: Amnx                      :      4.667u      0.000s      2.805w      9 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.187w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.767u      0.083s      0.516w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.733u      0.083s      5.925w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      5.233u      0.000s      3.135w     16 calls
| DFH: compute_JK()                 :      5.233u      0.000s      3.135w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      1.133u      0.000s      0.687w     16 calls
| | DFH: compute_K                  :      4.083u      0.000s      2.443w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:31:27 2022
Timers Off: Fri Jul 29 13:32:23 2022

Wall Time:       56.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.550u      0.000s      0.369w     11 calls
Libint2ERI::Libint2ERI              :      1.417u      0.017s      0.877w     75 calls
DFH: initialize()                   :      3.033u      0.017s      2.069w     11 calls
DFH: AO Construction                :      1.650u      0.000s      1.023w     11 calls
DFH: AO-Met. Contraction            :      0.383u      0.017s      0.235w     11 calls
HF: Form core H                     :      0.133u      0.017s      1.343w     10 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w     10 calls
HF: Guess                           :      0.283u      0.017s      0.175w     10 calls
SAD Guess                           :      0.283u      0.017s      0.167w      3 calls
HF: Form G                          :      1.317u      0.000s      0.791w    124 calls
JK: D                               :      0.000u      0.000s      0.006w    140 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    140 calls
JK: JK                              :      6.433u      0.000s      3.864w    140 calls
DFH: compute_JK()                   :      6.433u      0.000s      3.863w    140 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    140 calls
DFH: compute_J                      :      1.333u      0.000s      0.850w    140 calls
DFH: compute_K                      :      5.050u      0.000s      2.992w    140 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    140 calls
HF: Form F                          :      0.000u      0.000s      0.003w    124 calls
HF: Form D                          :      0.000u      0.000s      0.002w    124 calls
HF: DIIS                            :      0.183u      0.000s      0.650w    121 calls
DIISManager::add_entry              :      0.083u      0.000s      0.561w    114 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.026w    114 calls
bMatrix setup                       :      0.000u      0.000s      0.011w    114 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.005w    114 calls
New vector                          :      0.017u      0.000s      0.009w    114 calls
HF: Form C                          :      0.167u      0.017s      0.107w    121 calls
Grad: V T Perturb                   :      0.650u      0.050s      0.415w      9 calls
Grad: S                             :      0.000u      0.000s      0.011w      9 calls
Grad: JK                            :      7.133u      0.133s     11.035w      9 calls
JKGrad: Amn                         :      1.817u      0.083s      1.125w      9 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      9 calls
JKGrad: AB                          :      0.450u      0.033s      0.282w      9 calls
JKGrad: UV                          :      0.017u      0.000s      0.020w      9 calls
JKGrad: ABx                         :      0.233u      0.017s      0.120w      9 calls
JKGrad: Amnx                        :      4.600u      0.000s      2.783w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.733u      0.117s      0.507w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.600u      0.083s      5.830w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.550u      0.000s      0.369w     11 calls
| Libint2ERI::Libint2ERI            :      0.367u      0.000s      0.235w     11 calls
DFH: initialize()                   :      3.033u      0.017s      2.069w     11 calls
| Libint2ERI::Libint2ERI            :      0.383u      0.000s      0.226w     22 calls
| DFH: AO Construction              :      1.650u      0.000s      1.023w     11 calls
| DFH: AO-Met. Contraction          :      0.383u      0.017s      0.235w     11 calls
HF: Form core H                     :      0.133u      0.017s      1.343w     10 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w     10 calls
HF: Guess                           :      0.283u      0.017s      0.175w     10 calls
| SAD Guess                         :      0.283u      0.017s      0.167w      3 calls
HF: Form G                          :      1.317u      0.000s      0.791w    124 calls
| JK: D                             :      0.000u      0.000s      0.003w    124 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    124 calls
| JK: JK                            :      1.317u      0.000s      0.779w    124 calls
| | DFH: compute_JK()               :      1.317u      0.000s      0.779w    124 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    124 calls
| | | DFH: compute_J                :      0.250u      0.000s      0.193w    124 calls
| | | DFH: compute_K                :      1.050u      0.000s      0.569w    124 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    124 calls
HF: Form F                          :      0.000u      0.000s      0.003w    124 calls
HF: Form D                          :      0.000u      0.000s      0.002w    124 calls
HF: DIIS                            :      0.183u      0.000s      0.650w    121 calls
| DIISManager::add_entry            :      0.083u      0.000s      0.561w    114 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.026w    114 calls
| | bMatrix setup                   :      0.000u      0.000s      0.011w    114 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.005w    114 calls
| | New vector                      :      0.017u      0.000s      0.009w    114 calls
HF: Form C                          :      0.167u      0.017s      0.107w    121 calls
Grad: V T Perturb                   :      0.650u      0.050s      0.415w      9 calls
Grad: S                             :      0.000u      0.000s      0.011w      9 calls
Grad: JK                            :      7.133u      0.133s     11.035w      9 calls
| JKGrad: Amn                       :      1.817u      0.083s      1.125w      9 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.017s      0.185w      9 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      9 calls
| JKGrad: AB                        :      0.450u      0.033s      0.282w      9 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      9 calls
| JKGrad: UV                        :      0.017u      0.000s      0.020w      9 calls
| JKGrad: ABx                       :      0.233u      0.017s      0.120w      9 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      9 calls
| JKGrad: Amnx                      :      4.600u      0.000s      2.783w      9 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.185w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.733u      0.117s      0.507w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.600u      0.083s      5.830w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.022w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      5.117u      0.000s      3.085w     16 calls
| DFH: compute_JK()                 :      5.117u      0.000s      3.085w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      1.083u      0.000s      0.657w     16 calls
| | DFH: compute_K                  :      4.000u      0.000s      2.423w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:33:06 2022
Timers Off: Fri Jul 29 13:34:00 2022

Wall Time:       54.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.617u      0.017s      0.369w     11 calls
Libint2ERI::Libint2ERI              :      1.467u      0.017s      0.878w     75 calls
DFH: initialize()                   :      3.067u      0.067s      2.148w     11 calls
DFH: AO Construction                :      1.750u      0.033s      1.042w     11 calls
DFH: AO-Met. Contraction            :      0.400u      0.000s      0.235w     11 calls
HF: Form core H                     :      0.167u      0.000s      1.064w     10 calls
HF: Form S/X                        :      0.000u      0.000s      0.008w     10 calls
HF: Guess                           :      0.283u      0.017s      0.174w     10 calls
SAD Guess                           :      0.283u      0.017s      0.167w      3 calls
HF: Form G                          :      1.083u      0.050s      0.768w    121 calls
JK: D                               :      0.000u      0.000s      0.006w    137 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    137 calls
JK: JK                              :      6.167u      0.100s      3.841w    137 calls
DFH: compute_JK()                   :      6.167u      0.100s      3.840w    137 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    137 calls
DFH: compute_J                      :      1.250u      0.050s      0.849w    137 calls
DFH: compute_K                      :      4.917u      0.050s      2.970w    137 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    137 calls
HF: Form F                          :      0.017u      0.000s      0.003w    121 calls
HF: Form D                          :      0.017u      0.000s      0.002w    121 calls
HF: DIIS                            :      0.267u      0.000s      0.632w    118 calls
DIISManager::add_entry              :      0.050u      0.000s      0.545w    111 calls
DIISManager::extrapolate            :      0.067u      0.000s      0.025w    111 calls
bMatrix setup                       :      0.017u      0.000s      0.010w    111 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.005w    111 calls
New vector                          :      0.017u      0.000s      0.009w    111 calls
HF: Form C                          :      0.167u      0.000s      0.105w    118 calls
Grad: V T Perturb                   :      0.667u      0.017s      0.415w      9 calls
Grad: S                             :      0.033u      0.000s      0.011w      9 calls
Grad: JK                            :      7.150u      0.050s      7.541w      9 calls
JKGrad: Amn                         :      1.833u      0.050s      1.127w      9 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      9 calls
JKGrad: AB                          :      0.483u      0.000s      0.282w      9 calls
JKGrad: UV                          :      0.033u      0.000s      0.020w      9 calls
JKGrad: ABx                         :      0.150u      0.000s      0.120w      9 calls
JKGrad: Amnx                        :      4.633u      0.000s      2.773w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.700u      0.150s      0.507w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.650u      0.067s      5.826w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.617u      0.017s      0.369w     11 calls
| Libint2ERI::Libint2ERI            :      0.400u      0.017s      0.235w     11 calls
DFH: initialize()                   :      3.067u      0.067s      2.148w     11 calls
| Libint2ERI::Libint2ERI            :      0.383u      0.000s      0.226w     22 calls
| DFH: AO Construction              :      1.750u      0.033s      1.042w     11 calls
| DFH: AO-Met. Contraction          :      0.400u      0.000s      0.235w     11 calls
HF: Form core H                     :      0.167u      0.000s      1.064w     10 calls
HF: Form S/X                        :      0.000u      0.000s      0.008w     10 calls
HF: Guess                           :      0.283u      0.017s      0.174w     10 calls
| SAD Guess                         :      0.283u      0.017s      0.167w      3 calls
HF: Form G                          :      1.083u      0.050s      0.768w    121 calls
| JK: D                             :      0.000u      0.000s      0.003w    121 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    121 calls
| JK: JK                            :      1.083u      0.050s      0.756w    121 calls
| | DFH: compute_JK()               :      1.083u      0.050s      0.755w    121 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    121 calls
| | | DFH: compute_J                :      0.150u      0.017s      0.187w    121 calls
| | | DFH: compute_K                :      0.933u      0.033s      0.552w    121 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    121 calls
HF: Form F                          :      0.017u      0.000s      0.003w    121 calls
HF: Form D                          :      0.017u      0.000s      0.002w    121 calls
HF: DIIS                            :      0.267u      0.000s      0.632w    118 calls
| DIISManager::add_entry            :      0.050u      0.000s      0.545w    111 calls
| DIISManager::extrapolate          :      0.067u      0.000s      0.025w    111 calls
| | bMatrix setup                   :      0.017u      0.000s      0.010w    111 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.005w    111 calls
| | New vector                      :      0.017u      0.000s      0.009w    111 calls
HF: Form C                          :      0.167u      0.000s      0.105w    118 calls
Grad: V T Perturb                   :      0.667u      0.017s      0.415w      9 calls
Grad: S                             :      0.033u      0.000s      0.011w      9 calls
Grad: JK                            :      7.150u      0.050s      7.541w      9 calls
| JKGrad: Amn                       :      1.833u      0.050s      1.127w      9 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.000s      0.185w      9 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      9 calls
| JKGrad: AB                        :      0.483u      0.000s      0.282w      9 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      9 calls
| JKGrad: UV                        :      0.033u      0.000s      0.020w      9 calls
| JKGrad: ABx                       :      0.150u      0.000s      0.120w      9 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      9 calls
| JKGrad: Amnx                      :      4.633u      0.000s      2.773w      9 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.187w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.700u      0.150s      0.507w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.650u      0.067s      5.826w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      5.083u      0.050s      3.085w     16 calls
| DFH: compute_JK()                 :      5.083u      0.050s      3.085w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      1.100u      0.033s      0.662w     16 calls
| | DFH: compute_K                  :      3.983u      0.017s      2.418w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:34:44 2022
Timers Off: Fri Jul 29 13:36:06 2022

Wall Time:       82.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.717u      0.000s      0.436w     13 calls
Libint2ERI::Libint2ERI              :      1.717u      0.000s      1.042w     89 calls
DFH: initialize()                   :      3.517u      0.067s      2.852w     13 calls
DFH: AO Construction                :      2.033u      0.000s      1.209w     13 calls
DFH: AO-Met. Contraction            :      0.433u      0.017s      0.277w     13 calls
HF: Form core H                     :      0.183u      0.017s      3.103w     12 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     12 calls
HF: Guess                           :      0.300u      0.000s      0.173w     12 calls
SAD Guess                           :      0.283u      0.000s      0.166w      3 calls
HF: Form G                          :      1.667u      0.017s      0.943w    149 calls
JK: D                               :      0.017u      0.000s      0.007w    165 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    165 calls
JK: JK                              :      6.583u      0.017s      3.877w    165 calls
DFH: compute_JK()                   :      6.567u      0.017s      3.876w    165 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    165 calls
DFH: compute_J                      :      1.150u      0.017s      0.765w    165 calls
DFH: compute_K                      :      5.333u      0.000s      3.086w    165 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    165 calls
HF: Form F                          :      0.017u      0.000s      0.003w    149 calls
HF: Form D                          :      0.000u      0.000s      0.002w    149 calls
HF: DIIS                            :      0.200u      0.000s      1.746w    146 calls
DIISManager::add_entry              :      0.050u      0.000s      1.639w    137 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.031w    137 calls
bMatrix setup                       :      0.000u      0.000s      0.013w    137 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.007w    137 calls
New vector                          :      0.017u      0.000s      0.011w    137 calls
HF: Form C                          :      0.133u      0.017s      0.129w    146 calls
Grad: V T Perturb                   :      0.800u      0.033s      0.505w     11 calls
Grad: S                             :      0.000u      0.000s      0.014w     11 calls
Grad: JK                            :      8.800u      0.133s     13.596w     11 calls
JKGrad: Amn                         :      2.300u      0.033s      1.375w     11 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     11 calls
JKGrad: AB                          :      0.550u      0.033s      0.343w     11 calls
JKGrad: UV                          :      0.033u      0.000s      0.025w     11 calls
JKGrad: ABx                         :      0.200u      0.000s      0.147w     11 calls
JKGrad: Amnx                        :      5.683u      0.067s      3.419w     11 calls
Grad: XC                            :      0.000u      0.000s      0.000w     11 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.733u      0.100s      0.503w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
